what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573299878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390573306561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573306997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573547114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573556114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573655304
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573677772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573686791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573688846
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573688973
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1390573697982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573698877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573705197
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573706812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573708232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573725245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573725249
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573725309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573725352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573727291
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573727309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573730486
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573730497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573732246
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573732254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573736491
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573736508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573740911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573744333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573745433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573747339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573747340
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573747565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573747582
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573747597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573756489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573767694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573771023
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573774197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573778157
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573778176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573778177
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573778196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573780243
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573782952
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573784891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573785549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573796857
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573796989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573799779
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573799790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573801559
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573801569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573804175
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573804187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573808949
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573808957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573812466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573813524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573813535
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573813789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573813799
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1390573813811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573814668
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390573814674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573816732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573817884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390573843320
